Category,NNPrediction,BPrediction
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,0.87
ham,0.00,0.17
ham,0.00,0.00
spam,1.00,1.00
spam,1.00,1.00
ham,0.00,0.00
spam,1.00,1.00
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.00
spam,0.99,1.00
ham,0.00,0.07
ham,0.00,0.01
ham,0.00,0.01
spam,0.99,1.00
ham,0.00,0.07
ham,0.00,0.02
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.62
spam,1.00,0.96
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.04
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.07
ham,0.00,0.00
ham,0.00,0.55
ham,0.01,0.18
ham,0.00,0.01
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.05
ham,0.00,0.24
ham,0.00,0.01
ham,0.00,0.38
ham,0.00,0.21
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
spam,1.00,1.00
spam,0.03,0.01
ham,0.00,0.00
ham,0.00,0.87
ham,0.00,0.02
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.08
ham,0.00,0.01
ham,0.00,0.02
ham,0.00,0.01
ham,0.00,0.00
ham,0.00,0.17
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.00
ham,0.00,0.06
ham,0.00,0.06
ham,0.00,0.01
ham,0.00,0.01
ham,0.00,0.10
ham,0.00,0.00
ham,0.00,0.23
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.01,0.64
ham,0.00,0.01
ham,0.00,0.02
ham,0.00,0.05
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.18
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.16
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.01
ham,0.00,0.00
spam,1.00,1.00
spam,1.00,1.00
ham,0.00,0.24
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.02
ham,0.00,0.00
ham,0.00,0.02
ham,0.00,0.01
ham,0.00,0.16
ham,0.00,0.19
ham,0.00,0.01
ham,0.01,0.02
spam,1.00,1.00
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.03
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.27
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.04
ham,0.00,0.02
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.06
ham,0.00,0.76
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.24
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.04
ham,0.00,0.07
ham,0.00,0.00
spam,1.00,0.38
spam,1.00,1.00
ham,0.00,0.03
ham,0.00,0.13
ham,0.01,0.00
spam,0.99,1.00
spam,1.00,1.00
ham,0.00,0.02
spam,1.00,1.00
ham,0.00,0.81
ham,0.00,0.00
ham,0.00,0.66
ham,0.00,0.98
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.02
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.03
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.05
ham,0.00,0.01
ham,0.00,0.10
ham,0.00,0.00
ham,0.00,0.07
spam,1.00,1.00
ham,0.00,0.06
ham,0.00,0.00
spam,0.99,1.00
ham,0.00,0.00
ham,0.00,0.16
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.05
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.02
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.07
ham,0.00,0.00
ham,0.00,0.02
ham,0.00,0.00
ham,0.00,0.25
ham,0.00,0.12
ham,0.00,0.00
ham,0.00,0.07
ham,0.01,0.91
ham,0.00,0.03
ham,0.00,0.13
ham,0.00,0.00
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.24
ham,0.00,0.00
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.00
spam,0.96,1.00
ham,0.00,0.66
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.00
ham,0.00,0.07
ham,0.00,0.22
ham,0.00,0.39
spam,1.00,1.00
ham,0.00,0.00
ham,0.00,0.01
ham,0.00,0.19
ham,0.00,0.00
spam,1.00,1.00
ham,0.00,0.01
ham,0.00,0.07
ham,0.00,0.10
ham,0.00,0.00
ham,0.00,0.09
ham,0.00,0.00
